ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC
249.3626638,42,0.616763212,0.219692407,136.8614543,49.77820905,0.802899079,25.73174132,1,-0.35,11.91,0.18,B,202610930
83169,20,2.557007855,0.16258574,932465.0018,7750,0.576560073,34663.09168,0.58,0.09,1.95,0.002,QPS,202876718
63.48247792,4,1.004462697,0.827652076,51.00691268,10.44703231,0.778123781,3.657261801,0.85,-0.01,13.16,0.06,N,203082998
191.2356768,10,1.738385905,0.115937444,65.29611541,36.71003711,0.769270184,11.57941053,0.75,0.53,1.35,0.33,QPD,203083616
3793.90131,37,1.332478453,0.002132441,4358.267378,2119.02192,0.884780647,2193.052218,0.03,0.19,4.17,0.13,P,203318214
223.6955661,7,0.586972317,0.078514442,247.3144774,72.6345709,0.827702831,14.46262045,0.06,-0.21,0.78,0.06,P,203337814
689.3799142,16,2.852143102,0.036981404,397.7201622,78.13529697,0.669570737,109.6273001,0.77,0.62,2.23,0.09,APD,203343161
58.10719042,152,0.792700239,0.150212746,36.29653512,10.79932311,0.801829945,4.443245996,0.83,-0.14,61.46,0.08,QPS,203377650
1825.319218,36,2.729396944,0.008592966,1518.541794,10.73935119,0.232657041,50.26901348,1,-1.14,78.66,0.1,B,203382255
94.49088352,10,1.185717424,0.139951416,199.6227435,29.25723496,0.854089644,8.701223128,0.16,0.13,1.08,0.03,MP,203385048
116887.8722,39,4.888613298,0.004463838,92066.13098,16895.26463,0.731884079,24977.39584,0.91,0.88,7.36,0.24,APD,203410665
52648.13993,42,1.768952536,0.014006205,34991.88747,7254.74234,0.718659883,8640.4467,0.83,0.37,18.7,0.45,S,203417549
219.2236223,13,3.594275133,0.150175822,82.67412897,21.65363637,0.685822051,12.26182249,0.82,0.64,25.36,0.17,APD,203429083
1088.680125,446,1.011019265,0.004823983,1973.400523,360.4344353,0.829046587,244.339841,0.32,0.29,6.76,0.05,QPS,203440253
18154.39998,34,1.348910653,0.004043642,14902.8297,5653.779591,0.81306887,7000.490942,0.37,0.2,3.79,0.79,QPS,203465909
77.88685104,168,2.249217511,0.146307476,44.3784984,11.36595058,0.772926027,4.323193481,0.72,0.44,1.56,0.09,QPD,203542463
720.7452723,13,2.78584177,0.116798293,447.6521582,53.38301899,0.594382388,40.31112439,0.5,0.56,1.84,0.1,QPD,203559274
1047.763707,584,0.341758572,0.052666672,1000.907699,186.8292435,0.70314497,78.93392263,1,-0.36,95.25,0.04,U,203604427
7781.746582,28,0.837534216,0.029239057,4886.757773,1660.886338,0.798969004,1687.722435,0.78,-0.13,3.29,0.49,QPS,203637940
10286.5,14,0.86860005,0.310876845,148756.2161,2029.25,0.809482029,7580.88876,0.48,-0.39,2.63,0.003,QPS,203649927
